,road_id,road_name,common_road_name,cway,speed_limit,network_type
60632,1296130,Lane 59a,Lane 59a,S,110km/h or 50km/h built up areas,Local Road
60652,6051022,Nankiville Rd,Nankiville Rd,S,50km/h,Local Road
60667,1130536,Guilfoyle Grn,Guilfoyle Grn,S,110km/h or 50km/h built up areas,Local Road
60670,1180319,Stack St,Stack St,S,110km/h or 50km/h built up areas,Local Road
60710,1300031,Federation St South,Federation St South,S,110km/h or 50km/h built up areas,Local Road
60719,1101180,Woodvale Dr,Woodvale Dr,S,110km/h or 50km/h built up areas,Local Road
60734,5030014,Sanderson Rd,Sanderson Rd,S,110km/h or 50km/h built up areas,Local Road
60735,1120713,Deeley St,Deeley St,S,110km/h or 50km/h built up areas,Local Road
60736,1090999,Madeira Av,Madeira Av,S,110km/h or 50km/h built up areas,Local Road
60765,2120271,Orestes St,Orestes St,S,110km/h or 50km/h built up areas,Local Road
